[9G0I] ✓ Exactas: 0 | Distancia: 412 | Pep: 14 | Fallos: 8
[7GK3] ✓ Exactas: 281 | Distancia: 7 | Pep: 9 | Fallos: 6
[7GI6] ✓ Exactas: 592 | Distancia: 18 | Pep: 9 | Fallos: 11
[7GMI] ✓ Exactas: 563 | Distancia: 14 | Pep: 9 | Fallos: 9
[6M2N] ✓ Exactas: 431 | Distancia: 7 | Pep: 11 | Fallos: 6
[7GFL] ✓ Exactas: 536 | Distancia: 12 | Pep: 9 | Fallos: 6
[7GH0] ✓ Exactas: 596 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GJY] ✓ Exactas: 294 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GLN] ✓ Exactas: 550 | Distancia: 13 | Pep: 9 | Fallos: 8
[7GE8] ✓ Exactas: 588 | Distancia: 12 | Pep: 10 | Fallos: 8
[7GMB] ✓ Exactas: 539 | Distancia: 13 | Pep: 9 | Fallos: 7
[7GK1] ✓ Exactas: 296 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GD5] ✓ Exactas: 636 | Distancia: 24 | Pep: 13 | Fallos: 10
[7GKN] ✓ Exactas: 592 | Distancia: 17 | Pep: 9 | Fallos: 7
[7GLL] ✓ Exactas: 582 | Distancia: 13 | Pep: 11 | Fallos: 10
[7GFJ] ✓ Exactas: 712 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GFP] ✓ Exactas: 562 | Distancia: 12 | Pep: 11 | Fallos: 8
[7GLD] ✓ Exactas: 296 | Distancia: 9 | Pep: 11 | Fallos: 5
[7GL3] ✓ Exactas: 547 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GNC] ✓ Exactas: 611 | Distancia: 19 | Pep: 9 | Fallos: 12
[7GHN] ✓ Exactas: 772 | Distancia: 9 | Pep: 15 | Fallos: 5
[7GFE] ✓ Exactas: 814 | Distancia: 16 | Pep: 13 | Fallos: 10
[7M8O] ✓ Exactas: 0 | Distancia: 416 | Pep: 18 | Fallos: 7
[7GII] ✓ Exactas: 625 | Distancia: 20 | Pep: 11 | Fallos: 12
[7GK8] ✓ Exactas: 571 | Distancia: 15 | Pep: 9 | Fallos: 11
[7GFA] ✓ Exactas: 586 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GEY] ✓ Exactas: 496 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GIB] ✓ Exactas: 550 | Distancia: 17 | Pep: 9 | Fallos: 9
[7GG2] ✓ Exactas: 580 | Distancia: 18 | Pep: 9 | Fallos: 8
[7GIA] ✓ Exactas: 513 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GEB] ✓ Exactas: 564 | Distancia: 2 | Pep: 8 | Fallos: 4
[7GGB] ✓ Exactas: 480 | Distancia: 8 | Pep: 8 | Fallos: 8
[7GMH] ✓ Exactas: 542 | Distancia: 15 | Pep: 9 | Fallos: 7
[5RH3] ✓ Exactas: 514 | Distancia: 12 | Pep: 8 | Fallos: 10
[7GNE] ✓ Exactas: 587 | Distancia: 10 | Pep: 10 | Fallos: 2
[9KSK] ✓ Exactas: 0 | Distancia: 563 | Pep: 19 | Fallos: 8
[7GJS] ✓ Exactas: 305 | Distancia: 7 | Pep: 9 | Fallos: 6
[7GN4] ✓ Exactas: 561 | Distancia: 17 | Pep: 10 | Fallos: 9
[7GIZ] ✓ Exactas: 592 | Distancia: 15 | Pep: 9 | Fallos: 11
[7GFO] ✓ Exactas: 640 | Distancia: 22 | Pep: 11 | Fallos: 12
[7GNG] ✓ Exactas: 549 | Distancia: 10 | Pep: 9 | Fallos: 7
[7KX5] ✓ Exactas: 810 | Distancia: 6 | Pep: 14 | Fallos: 10
[7GI9] ✓ Exactas: 565 | Distancia: 19 | Pep: 9 | Fallos: 9
[9LVR] ✓ Exactas: 332 | Distancia: 5 | Pep: 14 | Fallos: 6
[7GH4] ✓ Exactas: 586 | Distancia: 14 | Pep: 8 | Fallos: 6
[8Q71] ✓ Exactas: 0 | Distancia: 702 | Pep: 11 | Fallos: 13
[7GJ8] ✓ Exactas: 558 | Distancia: 16 | Pep: 9 | Fallos: 9
[7GKL] ✓ Exactas: 251 | Distancia: 5 | Pep: 9 | Fallos: 5
[7GIR] ✓ Exactas: 572 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GJ9] ✓ Exactas: 630 | Distancia: 19 | Pep: 10 | Fallos: 13
[5RGV] ✓ Exactas: 466 | Distancia: 14 | Pep: 7 | Fallos: 8
[7TEK] ✓ Exactas: 688 | Distancia: 8 | Pep: 12 | Fallos: 6
[7GFU] ✓ Exactas: 600 | Distancia: 16 | Pep: 9 | Fallos: 8
[7RMZ] ✓ Exactas: 684 | Distancia: 4 | Pep: 11 | Fallos: 4
[7GFT] ✓ Exactas: 588 | Distancia: 12 | Pep: 11 | Fallos: 10
[7GBE] ✓ Exactas: 536 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GMY] ✓ Exactas: 306 | Distancia: 9 | Pep: 10 | Fallos: 5
[7GEI] ✓ Exactas: 554 | Distancia: 18 | Pep: 8 | Fallos: 10
[8UDO] ✓ Exactas: 916 | Distancia: 16 | Pep: 19 | Fallos: 4
[7GIT] ✓ Exactas: 533 | Distancia: 16 | Pep: 9 | Fallos: 10
[7URB] ✓ Exactas: 868 | Distancia: 16 | Pep: 15 | Fallos: 8
[7GCK] ✓ Exactas: 560 | Distancia: 10 | Pep: 9 | Fallos: 8
[7GJJ] ✓ Exactas: 400 | Distancia: 9 | Pep: 12 | Fallos: 5
[7GE9] ✓ Exactas: 504 | Distancia: 12 | Pep: 8 | Fallos: 8
[7GNK] ✓ Exactas: 613 | Distancia: 17 | Pep: 11 | Fallos: 9
[8UDW] ✓ Exactas: 858 | Distancia: 14 | Pep: 19 | Fallos: 4
[7GK0] ✓ Exactas: 300 | Distancia: 6 | Pep: 11 | Fallos: 5
[9MVM] ✓ Exactas: 276 | Distancia: 4 | Pep: 8 | Fallos: 2
[9KSI] ✓ Exactas: 0 | Distancia: 517 | Pep: 19 | Fallos: 12
[7GIO] ✓ Exactas: 551 | Distancia: 16 | Pep: 9 | Fallos: 12
[7GJ3] ✓ Exactas: 589 | Distancia: 16 | Pep: 9 | Fallos: 7
[7LMF] ✓ Exactas: 671 | Distancia: 23 | Pep: 13 | Fallos: 6
[7GIN] ✓ Exactas: 289 | Distancia: 7 | Pep: 9 | Fallos: 5
[7EN9] ✓ Exactas: 846 | Distancia: 10 | Pep: 16 | Fallos: 8
[7GFD] ✓ Exactas: 702 | Distancia: 12 | Pep: 14 | Fallos: 6
[7GFR] ✓ Exactas: 576 | Distancia: 16 | Pep: 8 | Fallos: 8
[7GNH] ✓ Exactas: 665 | Distancia: 18 | Pep: 11 | Fallos: 9
[7GJB] ✓ Exactas: 596 | Distancia: 17 | Pep: 11 | Fallos: 9
[7GJ6] ✓ Exactas: 563 | Distancia: 13 | Pep: 9 | Fallos: 12
[7GFQ] ✓ Exactas: 526 | Distancia: 12 | Pep: 8 | Fallos: 6
[7L14] ✓ Exactas: 759 | Distancia: 10 | Pep: 15 | Fallos: 3
[8UDP] ✓ Exactas: 934 | Distancia: 18 | Pep: 17 | Fallos: 4
[7GN1] ✓ Exactas: 334 | Distancia: 9 | Pep: 11 | Fallos: 5
[7GCV] ✓ Exactas: 694 | Distancia: 8 | Pep: 14 | Fallos: 8
[7GBV] ✓ Exactas: 554 | Distancia: 14 | Pep: 9 | Fallos: 6
[7GF5] ✓ Exactas: 538 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GMN] ✓ Exactas: 277 | Distancia: 8 | Pep: 8 | Fallos: 5
[7GIS] ✓ Exactas: 553 | Distancia: 16 | Pep: 9 | Fallos: 12
[7GID] ✓ Exactas: 504 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GM1] ✓ Exactas: 294 | Distancia: 9 | Pep: 9 | Fallos: 5
[7L11] ✓ Exactas: 761 | Distancia: 12 | Pep: 15 | Fallos: 5
[8R12] ✓ Exactas: 629 | Distancia: 6 | Pep: 11 | Fallos: 6
[7GN5] ✓ Exactas: 638 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GJT] ✓ Exactas: 389 | Distancia: 9 | Pep: 15 | Fallos: 3
[7GIX] ✓ Exactas: 597 | Distancia: 16 | Pep: 11 | Fallos: 10
[7GKF] ✓ Exactas: 290 | Distancia: 6 | Pep: 9 | Fallos: 5
[7GNR] ✓ Exactas: 580 | Distancia: 18 | Pep: 9 | Fallos: 10
[7GIL] ✓ Exactas: 549 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GJ0] ✓ Exactas: 632 | Distancia: 18 | Pep: 11 | Fallos: 9
[7GGR] ✓ Exactas: 558 | Distancia: 14 | Pep: 8 | Fallos: 10
[8UEH] ✓ Exactas: 882 | Distancia: 12 | Pep: 17 | Fallos: 8
[7GKJ] ✓ Exactas: 724 | Distancia: 21 | Pep: 14 | Fallos: 8
[7GN8] ✓ Exactas: 563 | Distancia: 16 | Pep: 9 | Fallos: 8
[7GNB] ✓ Exactas: 680 | Distancia: 17 | Pep: 9 | Fallos: 11
[7GL6] ✓ Exactas: 537 | Distancia: 16 | Pep: 9 | Fallos: 8
[7GMC] ✓ Exactas: 544 | Distancia: 14 | Pep: 9 | Fallos: 7
[8R14] ✓ Exactas: 573 | Distancia: 7 | Pep: 7 | Fallos: 5
[7GLG] ✓ Exactas: 570 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GEN] ✓ Exactas: 506 | Distancia: 10 | Pep: 8 | Fallos: 4
[7GBW] ✓ Exactas: 524 | Distancia: 10 | Pep: 8 | Fallos: 6
[7GH5] ✓ Exactas: 534 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GM4] ✓ Exactas: 548 | Distancia: 14 | Pep: 9 | Fallos: 9
[8UR9] ✓ Exactas: 0 | Distancia: 420 | Pep: 18 | Fallos: 3
[7GJQ] ✓ Exactas: 282 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GKC] ✓ Exactas: 646 | Distancia: 16 | Pep: 13 | Fallos: 7
[7GK7] ✓ Exactas: 400 | Distancia: 11 | Pep: 12 | Fallos: 5
[8R11] ✓ Exactas: 554 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GIV] ✓ Exactas: 574 | Distancia: 16 | Pep: 9 | Fallos: 11
[7GER] ✓ Exactas: 604 | Distancia: 20 | Pep: 9 | Fallos: 10
[7VTH] ✓ Exactas: 805 | Distancia: 6 | Pep: 13 | Fallos: 8
[7GBN] ✓ Exactas: 708 | Distancia: 12 | Pep: 14 | Fallos: 8
[7GMR] ✓ Exactas: 528 | Distancia: 11 | Pep: 9 | Fallos: 8
[9VS1] ✓ Exactas: 518 | Distancia: 6 | Pep: 15 | Fallos: 5
[7GCZ] ✓ Exactas: 606 | Distancia: 16 | Pep: 11 | Fallos: 10
[7GD3] ✓ Exactas: 622 | Distancia: 16 | Pep: 11 | Fallos: 18
[7GIG] ✓ Exactas: 291 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GML] ✓ Exactas: 528 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GHE] ✓ Exactas: 596 | Distancia: 12 | Pep: 10 | Fallos: 8
[9G0H] ✓ Exactas: 0 | Distancia: 364 | Pep: 13 | Fallos: 3
[7GIF] ✓ Exactas: 533 | Distancia: 15 | Pep: 9 | Fallos: 10
[7M8P] ✓ Exactas: 0 | Distancia: 418 | Pep: 19 | Fallos: 5
[7LTJ] ✓ Exactas: 638 | Distancia: 8 | Pep: 11 | Fallos: 6
[7GGC] ✓ Exactas: 424 | Distancia: 6 | Pep: 9 | Fallos: 6
[7M91] ✓ Exactas: 0 | Distancia: 808 | Pep: 15 | Fallos: 12
[7GLI] ✓ Exactas: 561 | Distancia: 14 | Pep: 10 | Fallos: 8
[7GKU] ✓ Exactas: 569 | Distancia: 12 | Pep: 9 | Fallos: 10
[7GKV] ✓ Exactas: 555 | Distancia: 13 | Pep: 9 | Fallos: 12
[7GNF] ✓ Exactas: 551 | Distancia: 14 | Pep: 9 | Fallos: 5
[7GLK] ✓ Exactas: 575 | Distancia: 15 | Pep: 11 | Fallos: 10
[7GMO] ✓ Exactas: 276 | Distancia: 8 | Pep: 9 | Fallos: 6
[7GLT] ✓ Exactas: 603 | Distancia: 14 | Pep: 11 | Fallos: 8
[8DZ0] ✓ Exactas: 819 | Distancia: 9 | Pep: 14 | Fallos: 3
[7GMJ] ✓ Exactas: 559 | Distancia: 17 | Pep: 9 | Fallos: 8
[7GG5] ✓ Exactas: 630 | Distancia: 24 | Pep: 13 | Fallos: 8
[7GN9] ✓ Exactas: 591 | Distancia: 16 | Pep: 10 | Fallos: 8
[7GJZ] ✓ Exactas: 837 | Distancia: 24 | Pep: 14 | Fallos: 11
[7GKP] ✓ Exactas: 269 | Distancia: 6 | Pep: 8 | Fallos: 5
[7GH1] ✓ Exactas: 516 | Distancia: 8 | Pep: 8 | Fallos: 12
[7GMZ] ✓ Exactas: 541 | Distancia: 13 | Pep: 9 | Fallos: 9
[7QBB] ✓ Exactas: 576 | Distancia: 14 | Pep: 10 | Fallos: 8
[7GBI] ✓ Exactas: 546 | Distancia: 14 | Pep: 8 | Fallos: 6
[7GK5] ✓ Exactas: 548 | Distancia: 14 | Pep: 9 | Fallos: 11
[7GF6] ✓ Exactas: 662 | Distancia: 18 | Pep: 13 | Fallos: 8
[7GJX] ✓ Exactas: 281 | Distancia: 8 | Pep: 9 | Fallos: 6
[7GMQ] ✓ Exactas: 575 | Distancia: 17 | Pep: 9 | Fallos: 10
[7GKI] ✓ Exactas: 276 | Distancia: 7 | Pep: 9 | Fallos: 4
[7GJK] ✓ Exactas: 303 | Distancia: 9 | Pep: 10 | Fallos: 4
[7GHM] ✓ Exactas: 830 | Distancia: 11 | Pep: 16 | Fallos: 6
[7GNT] ✓ Exactas: 690 | Distancia: 20 | Pep: 11 | Fallos: 10
[7GKR] ✓ Exactas: 569 | Distancia: 15 | Pep: 9 | Fallos: 9
[7RMT] ✓ Exactas: 666 | Distancia: 4 | Pep: 12 | Fallos: 4
[7GK6] ✓ Exactas: 275 | Distancia: 7 | Pep: 9 | Fallos: 7
[7GLV] ✓ Exactas: 580 | Distancia: 16 | Pep: 9 | Fallos: 9
[7L10] ✓ Exactas: 582 | Distancia: 10 | Pep: 10 | Fallos: 6
[7GBL] ✓ Exactas: 662 | Distancia: 8 | Pep: 14 | Fallos: 10
[7GJG] ✓ Exactas: 386 | Distancia: 9 | Pep: 12 | Fallos: 5
[8Y44] ✓ Exactas: 381 | Distancia: 6 | Pep: 13 | Fallos: 3
[7GM6] ✓ Exactas: 618 | Distancia: 14 | Pep: 9 | Fallos: 9
[7GM8] ✓ Exactas: 274 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GMS] ✓ Exactas: 332 | Distancia: 8 | Pep: 11 | Fallos: 3
[9DDG] ✓ Exactas: 0 | Distancia: 373 | Pep: 12 | Fallos: 9
[7GKT] ✓ Exactas: 315 | Distancia: 9 | Pep: 11 | Fallos: 4
[7GF2] ✓ Exactas: 588 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GJW] ✓ Exactas: 378 | Distancia: 8 | Pep: 12 | Fallos: 4
[9HAK] ✓ Exactas: 374 | Distancia: 9 | Pep: 15 | Fallos: 3
[7GLW] ✓ Exactas: 580 | Distancia: 20 | Pep: 9 | Fallos: 7
[8UDX] ✓ Exactas: 930 | Distancia: 18 | Pep: 19 | Fallos: 6
[7GJ1] ✓ Exactas: 532 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GLM] ✓ Exactas: 593 | Distancia: 13 | Pep: 11 | Fallos: 9
[7GKM] ✓ Exactas: 551 | Distancia: 15 | Pep: 9 | Fallos: 8
[8YKJ] ✓ Exactas: 634 | Distancia: 2 | Pep: 13 | Fallos: 2
[7GFG] ✓ Exactas: 584 | Distancia: 16 | Pep: 8 | Fallos: 6
[7P2G] ✓ Exactas: 238 | Distancia: 3 | Pep: 10 | Fallos: 3
[7GBX] ✓ Exactas: 556 | Distancia: 18 | Pep: 8 | Fallos: 8
[7GIC] ✓ Exactas: 526 | Distancia: 14 | Pep: 9 | Fallos: 12
[7GGS] ✓ Exactas: 602 | Distancia: 10 | Pep: 9 | Fallos: 6
[7GL0] ✓ Exactas: 343 | Distancia: 8 | Pep: 10 | Fallos: 5
[9GIJ] ✓ Exactas: 702 | Distancia: 12 | Pep: 13 | Fallos: 10
[7GLJ] ✓ Exactas: 609 | Distancia: 14 | Pep: 11 | Fallos: 9
[7GM0] ✓ Exactas: 629 | Distancia: 14 | Pep: 11 | Fallos: 7
[9DDF] ✓ Exactas: 0 | Distancia: 306 | Pep: 11 | Fallos: 6
[7B2J] ✓ Exactas: 498 | Distancia: 12 | Pep: 7 | Fallos: 6
[7GFM] ✓ Exactas: 690 | Distancia: 22 | Pep: 11 | Fallos: 10
[7GJO] ✓ Exactas: 299 | Distancia: 7 | Pep: 9 | Fallos: 5
[7L12] ✓ Exactas: 916 | Distancia: 18 | Pep: 17 | Fallos: 6
[7GAW] ✓ Exactas: 606 | Distancia: 18 | Pep: 11 | Fallos: 8
[8W1U] ✓ Exactas: 687 | Distancia: 17 | Pep: 13 | Fallos: 7
[7GL9] ✓ Exactas: 589 | Distancia: 15 | Pep: 10 | Fallos: 12
[7TEL] ✓ Exactas: 834 | Distancia: 28 | Pep: 13 | Fallos: 8
[7GDC] ✓ Exactas: 558 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GFS] ✓ Exactas: 568 | Distancia: 10 | Pep: 11 | Fallos: 10
[7GK9] ✓ Exactas: 593 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GG8] ✓ Exactas: 536 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GKH] ✓ Exactas: 262 | Distancia: 5 | Pep: 9 | Fallos: 5
[7GJL] ✓ Exactas: 293 | Distancia: 8 | Pep: 11 | Fallos: 5
[7RM2] ✓ Exactas: 636 | Distancia: 6 | Pep: 11 | Fallos: 6
[7LMD] ✓ Exactas: 676 | Distancia: 24 | Pep: 12 | Fallos: 8
[8ACD] ✓ Exactas: 0 | Distancia: 341 | Pep: 11 | Fallos: 2
[7GGW] ✓ Exactas: 588 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GKX] ✓ Exactas: 261 | Distancia: 8 | Pep: 8 | Fallos: 5
[7RME] ✓ Exactas: 608 | Distancia: 2 | Pep: 11 | Fallos: 4
[7RMB] ✓ Exactas: 604 | Distancia: 6 | Pep: 11 | Fallos: 4
[7O46] ✓ Exactas: 526 | Distancia: 8 | Pep: 10 | Fallos: 6
[7GMW] ✓ Exactas: 302 | Distancia: 9 | Pep: 9 | Fallos: 5
[7GEU] ✓ Exactas: 562 | Distancia: 14 | Pep: 8 | Fallos: 10
[9HAJ] ✓ Exactas: 356 | Distancia: 8 | Pep: 15 | Fallos: 2
[7GFH] ✓ Exactas: 562 | Distancia: 14 | Pep: 8 | Fallos: 8
[7M8M] ✓ Exactas: 0 | Distancia: 370 | Pep: 16 | Fallos: 5
[7GMK] ✓ Exactas: 533 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GE2] ✓ Exactas: 592 | Distancia: 12 | Pep: 11 | Fallos: 8
[7GJI] ✓ Exactas: 570 | Distancia: 17 | Pep: 9 | Fallos: 8
[7GMP] ✓ Exactas: 286 | Distancia: 7 | Pep: 9 | Fallos: 4
[7N44] ✓ Exactas: 0 | Distancia: 912 | Pep: 17 | Fallos: 12
[8CYU] ✓ Exactas: 689 | Distancia: 20 | Pep: 12 | Fallos: 12
[7GFK] ✓ Exactas: 482 | Distancia: 10 | Pep: 9 | Fallos: 6
[7GH7] ✓ Exactas: 564 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GD4] ✓ Exactas: 668 | Distancia: 16 | Pep: 10 | Fallos: 12
[7GMM] ✓ Exactas: 527 | Distancia: 13 | Pep: 9 | Fallos: 11
[7GK4] ✓ Exactas: 247 | Distancia: 8 | Pep: 9 | Fallos: 6
[7GJM] ✓ Exactas: 288 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GEW] ✓ Exactas: 584 | Distancia: 16 | Pep: 8 | Fallos: 8
[7GES] ✓ Exactas: 586 | Distancia: 18 | Pep: 10 | Fallos: 6
[7GEK] ✓ Exactas: 508 | Distancia: 12 | Pep: 8 | Fallos: 10
[8UEF] ✓ Exactas: 868 | Distancia: 16 | Pep: 16 | Fallos: 6
[7GH6] ✓ Exactas: 596 | Distancia: 14 | Pep: 11 | Fallos: 8
[8ACL] ✓ Exactas: 0 | Distancia: 313 | Pep: 9 | Fallos: 4
[7GI5] ✓ Exactas: 393 | Distancia: 8 | Pep: 15 | Fallos: 1
[7GL4] ✓ Exactas: 560 | Distancia: 13 | Pep: 9 | Fallos: 8
[7GFI] ✓ Exactas: 582 | Distancia: 12 | Pep: 12 | Fallos: 8
[7GGK] ✓ Exactas: 676 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GJ2] ✓ Exactas: 643 | Distancia: 22 | Pep: 11 | Fallos: 7
[7DDC] ✓ Exactas: 362 | Distancia: 0 | Pep: 8 | Fallos: 0
[7GJU] ✓ Exactas: 293 | Distancia: 9 | Pep: 9 | Fallos: 6
[7L0D] ✓ Exactas: 0 | Distancia: 632 | Pep: 12 | Fallos: 14
[7GJP] ✓ Exactas: 326 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GGG] ✓ Exactas: 626 | Distancia: 12 | Pep: 10 | Fallos: 10
[7GLC] ✓ Exactas: 285 | Distancia: 8 | Pep: 9 | Fallos: 3
[7GF1] ✓ Exactas: 548 | Distancia: 14 | Pep: 8 | Fallos: 6
[9G0I] ✓ Exactas: 0 | Distancia: 412 | Pep: 14 | Fallos: 8
[7GDI] ✓ Exactas: 518 | Distancia: 14 | Pep: 8 | Fallos: 8
[7RLS] ✓ Exactas: 646 | Distancia: 6 | Pep: 12 | Fallos: 6
[7GIK] ✓ Exactas: 526 | Distancia: 15 | Pep: 9 | Fallos: 11
[7GI8] ✓ Exactas: 579 | Distancia: 17 | Pep: 9 | Fallos: 11
[8CZ7] ✓ Exactas: 660 | Distancia: 21 | Pep: 11 | Fallos: 12
[7GGI] ✓ Exactas: 582 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GME] ✓ Exactas: 542 | Distancia: 12 | Pep: 9 | Fallos: 7
[7GNI] ✓ Exactas: 637 | Distancia: 18 | Pep: 9 | Fallos: 9
[7UR9] ✓ Exactas: 847 | Distancia: 20 | Pep: 15 | Fallos: 5
[7GNS] ✓ Exactas: 666 | Distancia: 19 | Pep: 11 | Fallos: 7
[8CZ4] ✓ Exactas: 648 | Distancia: 22 | Pep: 11 | Fallos: 10
[7GE3] ✓ Exactas: 544 | Distancia: 14 | Pep: 8 | Fallos: 4
[7GJR] ✓ Exactas: 303 | Distancia: 10 | Pep: 9 | Fallos: 6
[7US4] ✓ Exactas: 812 | Distancia: 26 | Pep: 14 | Fallos: 6
[7GFN] ✓ Exactas: 648 | Distancia: 24 | Pep: 13 | Fallos: 10
[7GJA] ✓ Exactas: 615 | Distancia: 16 | Pep: 13 | Fallos: 10
[7VIC] ✓ Exactas: 270 | Distancia: 0 | Pep: 4 | Fallos: 0
[7GGJ] ✓ Exactas: 610 | Distancia: 16 | Pep: 9 | Fallos: 8
[7GGL] ✓ Exactas: 558 | Distancia: 16 | Pep: 10 | Fallos: 8
[7M8Z] ✓ Exactas: 0 | Distancia: 784 | Pep: 15 | Fallos: 10
[7L13] ✓ Exactas: 406 | Distancia: 7 | Pep: 18 | Fallos: 4
[7GGT] ✓ Exactas: 576 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GKD] ✓ Exactas: 282 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GH3] ✓ Exactas: 452 | Distancia: 2 | Pep: 8 | Fallos: 4
[9GIL] ✓ Exactas: 665 | Distancia: 10 | Pep: 13 | Fallos: 7
[7GMT] ✓ Exactas: 277 | Distancia: 6 | Pep: 9 | Fallos: 5
[8DII] ✓ Exactas: 510 | Distancia: 12 | Pep: 7 | Fallos: 6
[7GKK] ✓ Exactas: 518 | Distancia: 7 | Pep: 9 | Fallos: 9
[8UEG] ✓ Exactas: 790 | Distancia: 16 | Pep: 17 | Fallos: 4
[7GMX] ✓ Exactas: 244 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GN7] ✓ Exactas: 305 | Distancia: 10 | Pep: 9 | Fallos: 3
[7GJ5] ✓ Exactas: 266 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GKQ] ✓ Exactas: 556 | Distancia: 14 | Pep: 9 | Fallos: 11
[7GDZ] ✓ Exactas: 476 | Distancia: 8 | Pep: 9 | Fallos: 8
[7GKB] ✓ Exactas: 574 | Distancia: 11 | Pep: 9 | Fallos: 8
[7GFX] ✓ Exactas: 526 | Distancia: 12 | Pep: 8 | Fallos: 6
[7RN4] ✓ Exactas: 640 | Distancia: 8 | Pep: 11 | Fallos: 10
[7GKS] ✓ Exactas: 568 | Distancia: 12 | Pep: 10 | Fallos: 8
[7GBS] ✓ Exactas: 534 | Distancia: 14 | Pep: 9 | Fallos: 6
[7GKY] ✓ Exactas: 516 | Distancia: 13 | Pep: 9 | Fallos: 9
[7L13] ✓ Exactas: 406 | Distancia: 7 | Pep: 18 | Fallos: 4
[7GFJ] ✓ Exactas: 712 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GJV] ✓ Exactas: 602 | Distancia: 13 | Pep: 10 | Fallos: 10
[7GE1] ✓ Exactas: 614 | Distancia: 12 | Pep: 11 | Fallos: 6
[7GMT] ✓ Exactas: 277 | Distancia: 6 | Pep: 9 | Fallos: 5
[7GEL] ✓ Exactas: 556 | Distancia: 6 | Pep: 8 | Fallos: 6
[7GLL] ✓ Exactas: 582 | Distancia: 13 | Pep: 11 | Fallos: 10
[7GJ1] ✓ Exactas: 532 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GMX] ✓ Exactas: 244 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GB5] ✓ Exactas: 540 | Distancia: 14 | Pep: 8 | Fallos: 6
[7GGB] ✓ Exactas: 480 | Distancia: 8 | Pep: 8 | Fallos: 8
[7GBD] ✓ Exactas: 690 | Distancia: 10 | Pep: 13 | Fallos: 8
[7GLI] ✓ Exactas: 561 | Distancia: 14 | Pep: 10 | Fallos: 8
[7GE2] ✓ Exactas: 592 | Distancia: 12 | Pep: 11 | Fallos: 8
[7GK3] ✓ Exactas: 281 | Distancia: 7 | Pep: 9 | Fallos: 6
[7GGA] ✓ Exactas: 610 | Distancia: 18 | Pep: 9 | Fallos: 10
[7GM2] ✓ Exactas: 676 | Distancia: 16 | Pep: 10 | Fallos: 9
[7GL4] ✓ Exactas: 560 | Distancia: 13 | Pep: 9 | Fallos: 8
[7M90] ✓ Exactas: 0 | Distancia: 836 | Pep: 19 | Fallos: 14
[7GN3] ✓ Exactas: 288 | Distancia: 7 | Pep: 9 | Fallos: 5
[7M91] ✓ Exactas: 0 | Distancia: 808 | Pep: 15 | Fallos: 12
[7GKW] ✓ Exactas: 332 | Distancia: 10 | Pep: 10 | Fallos: 4
[7GBW] ✓ Exactas: 524 | Distancia: 10 | Pep: 8 | Fallos: 6
[7GLC] ✓ Exactas: 285 | Distancia: 8 | Pep: 9 | Fallos: 3
[5RGX] ✓ Exactas: 580 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GF0] ✓ Exactas: 572 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GDD] ✓ Exactas: 584 | Distancia: 18 | Pep: 8 | Fallos: 8
[7GM4] ✓ Exactas: 548 | Distancia: 14 | Pep: 9 | Fallos: 9
